match_id,date,season,match_week,home_team,away_team,home_roll_xg_for,home_roll_xg_against,home_roll_xg_diff,away_roll_xg_for,away_roll_xg_against,away_roll_xg_diff,net_xg_diff,home_roll_goals_for,home_roll_goals_against,home_roll_goal_diff,away_roll_goals_for,away_roll_goals_against,away_roll_goal_diff,net_goal_diff,home_roll_won,away_roll_won,net_win_rate,home_roll_points,away_roll_points,net_points,home_squad_value,away_squad_value,squad_value_ratio,log_squad_value_ratio,squad_value_diff,home_avg_player_value,away_avg_player_value,home_squad_age,away_squad_age,home_win_prob,draw_prob,away_win_prob,result,result_code
10701,2018-09-22,2018,9,Strasbourg,Amiens,0.9058276,0.6596200999999999,0.24620750000000002,1.0706019999999998,1.1747714,-0.10416940000000019,0.3503769000000002,1.2,1.4,-0.19999999999999996,1.4,1.6,-0.20000000000000018,2.220446049250313e-16,0.2,0.2,0.0,1.0,0.8,0.19999999999999996,85000000,42000000,2.0238095238095237,0.7049816382069481,43000000,3695652.0,1909091.0,26.0,26.0,0.4605,0.351,0.1885,H,0
10694,2018-09-23,2018,9,Guingamp,Bordeaux,1.097637,1.6782104,-0.5805734,0.9069303,1.4455144,-0.5385841,-0.04198930000000001,0.6,2.8,-2.1999999999999997,1.2,2.0,-0.8,-1.3999999999999997,0.0,0.2,-0.2,0.0,0.8,-0.8,35000000,85000000,0.4117647058823529,-0.8873031950009028,-50000000,1590909.0,3695652.0,26.5,26.0,0.7165,0.1919,0.0916,A,2
10699,2018-09-23,2018,9,Rennes,Paris Saint Germain,1.240554,1.0289604,0.21159359999999983,2.6396520000000003,1.0230092000000002,1.6166428000000002,-1.4050492000000003,1.4,1.4,0.0,3.4,0.8,2.5999999999999996,-2.5999999999999996,0.4,1.0,-0.6,1.4,3.0,-1.6,140000000,780000000,0.1794871794871795,-1.717651497074333,-640000000,5833333.0,30000000.0,24.6,25.8,0.269,0.2903,0.4407,A,2
10702,2018-09-23,2018,9,Lyon,Marseille,1.2951405999999999,0.7187466,0.5763939999999999,1.8776654000000002,1.1093614,0.7683040000000001,-0.19191000000000025,1.2,0.8,0.3999999999999999,2.8,1.4,1.4,-1.0,0.4,0.6,-0.19999999999999996,1.4,2.0,-0.6000000000000001,320000000,210000000,1.5238095238095237,0.4212134650763035,110000000,12800000.0,8750000.0,25.6,26.3,0.7379,0.1803,0.0818,H,0
10708,2018-09-25,2018,10,Monaco,Angers,1.2320752000000001,1.2908106,-0.05873539999999977,0.9559215999999999,1.1299226,-0.17400100000000007,0.1152656000000003,1.0,1.4,-0.3999999999999999,1.0,1.0,0.0,-0.3999999999999999,0.0,0.4,-0.4,0.6,1.4,-0.7999999999999999,380000000,50000000,7.6,2.028148247292285,330000000,15200000.0,2272727.0,24.2,26.5,0.3986,0.4429,0.1585,A,2
10709,2018-09-25,2018,10,Nantes,Nice,1.0957732,1.2300308,-0.13425759999999998,0.8867193999999999,1.558796,-0.6720766000000001,0.5378190000000002,1.0,1.4,-0.3999999999999999,0.8,1.4,-0.5999999999999999,0.19999999999999996,0.2,0.4,-0.2,1.0,1.4,-0.3999999999999999,85000000,130000000,0.6538461538461539,-0.42488319396526597,-45000000,3695652.0,5416667.0,26.0,25.8,0.1899,0.2736,0.5365,A,2
10712,2018-09-25,2018,10,Toulouse,Saint-Etienne,1.2976102,0.86991,0.4277002000000001,1.0653412,0.8639205999999999,0.20142060000000006,0.22627960000000003,1.2,0.6,0.6,0.6,1.2,-0.6,1.2,0.6,0.2,0.39999999999999997,2.2,1.2,1.0000000000000002,85000000,85000000,1.0,0.0,0,3695652.0,3695652.0,26.0,26.0,0.1218,0.1972,0.681,A,2
10703,2018-09-26,2018,10,Amiens,Rennes,1.1479618,1.1280974000000001,0.019864399999999893,1.4094904,0.9672384,0.44225199999999987,-0.4223876,1.6,1.8,-0.19999999999999996,1.4,1.4,0.0,-0.19999999999999996,0.2,0.4,-0.2,0.8,1.4,-0.5999999999999999,42000000,140000000,0.3,-1.2039728043259361,-98000000,1909091.0,5833333.0,26.0,24.6,0.1154,0.2127,0.6719,H,0
10704,2018-09-26,2018,10,Bordeaux,Lille,1.0523874,1.5919224,-0.5395350000000001,1.4642352,1.125552,0.33868319999999996,-0.8782182000000001,1.8,1.8,0.0,1.6,0.8,0.8,-0.8,0.4,0.6,-0.19999999999999996,1.4,2.0,-0.6000000000000001,85000000,180000000,0.4722222222222222,-0.750305594399894,-95000000,3695652.0,7500000.0,26.0,25.1,0.0878,0.2253,0.6869,H,0
10705,2018-09-26,2018,10,Caen,Montpellier,1.0432486,1.5010334,-0.4577848,0.6422019999999999,0.6878884,-0.045686400000000016,-0.4120984,1.4,1.2,0.19999999999999996,1.0,0.4,0.6,-0.4,0.2,0.6,-0.39999999999999997,1.2,2.2,-1.0000000000000002,40000000,85000000,0.47058823529411764,-0.7537718023763802,-45000000,1818182.0,3695652.0,26.3,26.0,0.0681,0.2009,0.731,D,1
