league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
FRA-Ligue 1,1819,Guingamp,Ronny Rodelin,FRA,MF,28,1989,17,8,788,8.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Yannis Salibur,FRA,"FW,MF",27,1991,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Guingamp,Yeni Ngbakoto,COD,MF,26,1992,15,4,566,6.3,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16
FRA-Ligue 1,1819,Guingamp,Étienne Didot,FRA,MF,35,1983,31,23,2105,23.4,1,1,2,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09
FRA-Ligue 1,1819,Lille,Adama Soumaoro,FRA,DF,26,1992,20,20,1723,19.1,0,1,1,0,0,0,6,1,0.0,0.05,0.05,0.0,0.05
FRA-Ligue 1,1819,Lille,Arton Zekaj,KVX,MF,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Lille,Boubakary Soumaré,FRA,MF,19,1999,18,5,564,6.3,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32
FRA-Ligue 1,1819,Lille,Edgar Ié,GNB,DF,24,1994,7,1,239,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Lille,Fodé Ballo-Touré,SEN,DF,21,1997,18,18,1593,17.7,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
FRA-Ligue 1,1819,Lille,Gabriel Magalhães,BRA,DF,20,1997,14,11,1066,11.8,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08
FRA-Ligue 1,1819,Lille,Jonathan Bamba,CIV,MF,22,1996,38,35,3004,33.4,13,3,16,12,1,1,4,0,0.39,0.09,0.48,0.36,0.45
FRA-Ligue 1,1819,Lille,Jonathan Ikone,FRA,MF,20,1998,38,34,2796,31.1,3,9,12,3,0,0,3,0,0.1,0.29,0.39,0.1,0.39
FRA-Ligue 1,1819,Lille,José Fonte,POR,DF,34,1983,36,36,3110,34.6,3,1,4,3,0,0,5,1,0.09,0.03,0.12,0.09,0.12
FRA-Ligue 1,1819,Lille,Jérémy Pied,FRA,DF,29,1989,11,4,469,5.2,0,2,2,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38
FRA-Ligue 1,1819,Lille,Kouadio-Yves Dabila,CIV,DF,21,1997,12,8,782,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,1819,Lille,Lebo Mothiba,RSA,FW,22,1996,3,3,253,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36
FRA-Ligue 1,1819,Lille,Loïc Rémy,FRA,FW,31,1987,26,14,1204,13.4,7,2,9,6,1,2,3,0,0.52,0.15,0.67,0.45,0.6
