season,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,result
2018,10766,2018-11-11,Marseille,Dijon,2,0,2.89061,0.304655,0.9646,0.0313,0.0041,H
2018,10768,2018-11-11,Rennes,Nantes,1,1,1.88164,0.184793,0.9066,0.0837,0.0097,D
2018,10772,2018-11-11,Monaco,Paris Saint Germain,0,4,1.15132,3.96363,0.0165,0.0489,0.9346,A
2018,10776,2018-11-23,Lyon,Saint-Etienne,1,0,0.649858,1.31216,0.1625,0.2828,0.5547,H
2018,10774,2018-11-24,Caen,Monaco,0,1,0.789079,0.845589,0.2986,0.3588,0.3426,A
2018,10775,2018-11-24,Dijon,Bordeaux,0,0,0.836819,0.356882,0.4917,0.372,0.1363,D
2018,10778,2018-11-24,Reims,Guingamp,2,1,1.07478,1.26231,0.262,0.3257,0.4123,H
2018,10779,2018-11-24,Paris Saint Germain,Toulouse,1,0,1.71842,0.557678,0.7063,0.2084,0.0853,H
2018,10781,2018-11-24,Nantes,Angers,1,1,1.63216,1.01835,0.5258,0.2557,0.2185,D
2018,10782,2018-11-24,Strasbourg,Nimes,0,1,0.726506,1.10329,0.2269,0.3296,0.4435,A
2018,10773,2018-11-25,Amiens,Marseille,1,3,0.994152,1.84765,0.1342,0.277,0.5888,A
2018,10777,2018-11-25,Montpellier,Rennes,2,2,2.46441,1.48787,0.6384,0.214,0.1476,D
2018,10780,2018-11-25,Nice,Lille,2,0,0.888644,0.297641,0.5161,0.3692,0.1147,H
2018,10789,2018-11-30,Saint-Etienne,Nantes,3,0,2.78933,0.382165,0.9113,0.0735,0.0152,H
2018,10783,2018-12-01,Guingamp,Nice,0,0,1.0441,0.616059,0.4811,0.3337,0.1852,D
2018,10784,2018-12-01,Lille,Lyon,2,2,0.998116,2.54317,0.0836,0.1646,0.7518,D
2018,10786,2018-12-01,Monaco,Montpellier,1,2,0.730635,1.38205,0.1632,0.28,0.5568,A
2018,10787,2018-12-01,Nimes,Amiens,3,0,2.01592,0.737512,0.7117,0.1917,0.0966,H
2018,10791,2018-12-01,Angers,Caen,1,1,1.84283,0.806956,0.6642,0.2264,0.1094,D
2018,10785,2018-12-02,Marseille,Reims,0,0,0.682463,0.510439,0.3498,0.4143,0.2359,D
2018,10788,2018-12-02,Rennes,Strasbourg,1,4,0.579518,3.47771,0.0102,0.038,0.9518,A
2018,10790,2018-12-02,Toulouse,Dijon,2,2,0.794616,2.01627,0.0973,0.1916,0.7111,D
2018,10792,2018-12-02,Bordeaux,Paris Saint Germain,2,2,0.645329,1.54367,0.1287,0.2417,0.6296,D
2018,10793,2018-12-04,Montpellier,Lille,0,1,0.82747,2.01852,0.091,0.1825,0.7265,A
